00440001,BenQ Mobile GmbH & Co. OHG,Prototype  ,,,
33018135,Sagem ,G313-B0  ,,,
33018182,Sagem ,G313-B0  ,,,
33018235,Sagem ,G313-B5  ,,,
33019000,Sagem ,G314-B0  ,,,
33019082,Sagem ,G314-B0  ,,,
33019235,Sagem ,G314-B9  ,,,
33019600,Sagem ,RC 810  ,,,
33019635,Sagem ,RC 810  ,,,
33019682,Sagem ,RC 810  ,,,
33019782,Sagem ,RC 815  ,,,
33021442,Sagem ,G 412 S-B  ,,,
33021872,Sagem ,G 412 P-P  ,,,
33100035,Sagem,B500  ,,,
33100082,Sagem,B500  ,,,
33100095,Sagem,B500  ,,,
33100435,Sagem,B515  ,,,
33100482,Sagem,B515  ,,,
33100495,Sagem,B515  ,,,
33100700,Sagem,B510  ,,,
33102100,Sagem ,INCONNU  ,,,
33102122,Sagem,Sanaga  ,,,
33102135,Sagem,Sanaga  ,,,
33102182,Sagem,Sanaga  ,,,
33102195,Sagem,Sanaga  ,,,
33102611,Sagem,MC940  ,,,
33102620,Sagem,MC940  ,,,
33102622,Sagem,MC940  ,,,
33102635,Sagem,MC940  ,,,
33102642,Sagem,MC940  ,,,
33102672,Sagem,MC940  ,,,
33102682,Sagem,MC940  ,,,
33102695,Sagem,MC940  ,,,
33102811,Sagem,MC820  ,,,
33102835,Sagem,MC820  ,,,
33102842,Sagem,MC820  ,,,
33102882,Sagem,MC820  ,,,
33104782,Sagem ,DC 820  ,,,
33200100,Mitsubishi Electric ,MT-D30 / MT-D30C  ,,,
33200135,Mitsubishi Electric ,MT-D30 / MT-D30C  ,,,
33200335,Mitsubishi Electric,B820  ,,,
33200435,Mitsubishi Electric,MT401  ,,,
33200700,Sagem ,M 22-L2  ,,,
33200735,Sagem ,M 22-L2  ,,,
33200782,Sagem ,M 22-L2  ,,,
33200800,Sagem ,M 22-S2  ,,,
33200882,Sagem ,M 22-S2  ,,,
33201000,Sagem ,RC 820  ,,,
33201022,Sagem,MC820  ,,,
33201035,Sagem,MC820  ,,,
33201082,Sagem,MC820  ,,,
33201095,Sagem,MC820  ,,,
33201195,Sagem ,M31 - B5  ,,,
33201235,Sagem ,M31 - PO  ,,,
33201600,Sagem ,MCT 820  ,,,
33201622,Sagem,MC820  ,,,
33201635,Sagem,MC820  ,,,
33201682,Sagem,MC820  ,,,
33201695,Sagem,MC820  ,,,
33201700,Sagem ,M312 - B5  ,,,
33201735,Sagem ,M312 - B5  ,,,
33201782,Sagem ,M312 - B5  ,,,
33201800,Sagem ,M 8300  ,,,
33201835,Sagem ,M 8300  ,,,
33201882,Sagem ,M 8300  ,,,
33201895,Sagem ,M 8300  ,,,
33201900,Sagem ,M312 - P5  ,,,
33201982,Sagem ,M312 - P5  ,,,
33202000,Sagem ,MC 835  ,,,
33202022,Sagem,MC935  ,,,
33202035,Sagem,MC935  ,,,
33202082,Sagem,MC935  ,,,
33202095,Sagem,MC935  ,,,
33202100,Alcatel Radiotelephone ,ONE TOUCH EASY DB  ,,,
33202136,Alcatel Radiotelephone ,ONE TOUCH EASY DB  ,,,
33202153,Alcatel Radiotelephone,One Touch  Easy db  ,,,
33202167,Alcatel Radiotelephone,One Touch  Easy db  ,,,
33202170,Alcatel Radiotelephone,One Touch  Easy db  ,,,
33202171,Alcatel Radiotelephone,One Touch  Easy db  ,,,
33202200,Mitsubishi Electric ,TRIUM GALAXY  ,,,
33202235,Mitsubishi Electric,Galaxy  ,,,
33202300,Mitsubishi Electric ,TRIUM GEO  ,,,
33202335,Mitsubishi Electric,Geo  ,,,
33202400,Mitsubishi Electric ,TRIUM ASTRAL  ,,,
33202435,Mitsubishi Electric,Astral  ,,,
33202500,Alcatel Radiotelephone ,ONE TOUCH VIEW DB @  ,,,
33202553,Alcatel Radiotelephone,One Touch  View db  ,,,
33202567,Alcatel Radiotelephone,One Touch  View db  ,,,
33202570,Alcatel Radiotelephone,One Touch  View db  ,,,
33202571,Alcatel Radiotelephone,One Touch  View db  ,,,
33202600,Sagem ,MC 836  ,,,
33202622,Sagem,MC836  ,,,
33202635,Sagem,MC836  ,,,
33202682,Sagem,MC836  ,,,
33202695,Sagem,MC836  ,,,
33203435,Sagem ,MC 830  ,,,
33203900,Alcatel Radiotelephone ,One Touch CB  ,,,
33203936,Alcatel Radiotelephone ,One Touch CB  ,,,
33203953,Alcatel Radiotelephone,One Touch  Club db  ,,,
33203967,Alcatel Radiotelephone,One Touch  Club db  ,,,
33203970,Alcatel Radiotelephone,One Touch  Club db  ,,,
33203971,Alcatel Radiotelephone,One Touch  Club db  ,,,
33204053,Alcatel Radiotelephone,ONE TOUCH MAX db  ,,,
33204067,Alcatel Radiotelephone,ONE TOUCH MAX db  ,,,
33204070,Alcatel Radiotelephone,ONE TOUCH MAX db  ,,,
33204071,Alcatel Radiotelephone,ONE TOUCH MAX db  ,,,
33204100,Alcatel Radiotelephone ,ONE TOUCH EASY DB  ,,,
33204153,Alcatel Radiotelephone,One Touch  Easy db  ,,,
33204167,Alcatel Radiotelephone,One Touch  Easy db  ,,,
33204170,Alcatel Radiotelephone,One Touch  Easy db  ,,,
33204171,Alcatel Radiotelephone,One Touch  Easy db  ,,,
33204200,Alcatel Radiotelephone,ONE TOUCH EASY DB  ,,,
33204253,Alcatel Radiotelephone,One Touch  Easy db  ,,,
33204267,Alcatel Radiotelephone,One Touch  Easy db  ,,,
33204270,Alcatel Radiotelephone,One Touch  Easy db  ,,,
33204271,Alcatel Radiotelephone,One Touch  Easy db  ,,,
33204300,Sagem ,M313 - BO  ,,,
33204311,Sagem,MC820  ,,,
33204322,Sagem ,M313 - BO  ,,,
33204335,Sagem,MC820  ,,,
33204382,Sagem,MC820  ,,,
33204395,Sagem,MC820  ,,,
33204400,Sagem ,M313 - B5  ,,,
33204435,Sagem ,M313 - B5  ,,,
33204482,Sagem ,M313 - B5  ,,,
33204900,Sagem ,M 9500  ,,,
33204911,Sagem,MC940  ,,,
33204920,Sagem,MC940  ,,,
33204922,Sagem,MC940  ,,,
33204935,Sagem,MC940  ,,,
33204942,Sagem,MC940  ,,,
33204972,Sagem,MC940  ,,,
33204982,Sagem,MC940  ,,,
33204995,Sagem,MC940  ,,,
33205011,Sagem,MC940  ,,,
33205020,Sagem,MC940  ,,,
33205022,Sagem,MC940  ,,,
33205035,Sagem,MC940  ,,,
33205042,Sagem,MC940  ,,,
33205072,Sagem,MC940  ,,,
33205082,Sagem,MC940  ,,,
33205095,Sagem,MC940  ,,,
33205153,Alcatel Radiotelephone ,ONE TOUCH GUM DB  ,,,
33205200,Sagem ,M41P-P  ,,,
33205211,Sagem,MC940  ,,,
33205220,Sagem,MC940  ,,,
33205222,Sagem,MC940  ,,,
33205235,Sagem,MC940  ,,,
33205242,Sagem,MC940  ,,,
33205272,Sagem,MC940  ,,,
33205282,Sagem,MC940  ,,,
33205295,Sagem,MC940  ,,,
33205311,Sagem,MC920  ,,,
33205320,Sagem,MC920  ,,,
33205322,Sagem,MC920  ,,,
33205335,Sagem,MC920  ,,,
33205342,Sagem,MC920  ,,,
33205372,Sagem,MC920  ,,,
33205382,Sagem,MC920  ,,,
33205395,Sagem,MC920  ,,,
33205411,Sagem,MC920  ,,,
33205420,Sagem,MC920  ,,,
33205422,Sagem,MC920  ,,,
33205435,Sagem,MC920  ,,,
33205442,Sagem,MC920  ,,,
33205472,Sagem,MC920  ,,,
33205482,Sagem,MC920  ,,,
33205495,Sagem,MC920  ,,,
33205533,Wavecom,Fastrack  ,,,
33205600,Sagem ,DMC 830 GSM-DECT  ,,,
33205611,Sagem,MC820  ,,,
33205620,Sagem,MC820  ,,,
33205622,Sagem,MC820  ,,,
33205635,Sagem,MC820  ,,,
33205642,Sagem,MC820  ,,,
33205672,Sagem,MC820  ,,,
33205682,Sagem,MC820  ,,,
33205695,Sagem,MC820  ,,,
33205700,Sagem ,M314-B5  ,,,
33205722,Sagem ,M314-B5  ,,,
33205735,Sagem ,M314-B5  ,,,
33205772,Sagem ,M314-B5  ,,,
33205782,Sagem ,M314-B5  ,,,
33205800,Sagem ,MCT 820  ,,,
33205835,Sagem ,MCT 820  ,,,
33205900,Sagem ,MCT 820  ,,,
33205935,Sagem ,MCT 820  ,,,
33205982,Sagem ,MCT 820  ,,,
33205995,Sagem ,MCT 820  ,,,
33206082,Sagem ,M314-P5  ,,,
33206200,Mitsubishi Electric ,TRIUM ARIA  ,,,
33206234,Mitsubishi Electric,Aria  ,,,
33206235,Mitsubishi Electric,Aria  ,,,
33206300,Alcatel Radiotelephone ,ONE TOUCH EASY DB  ,,,
33206353,Alcatel Radiotelephone,One Touch  Easy db  ,,,
33206367,Alcatel Radiotelephone,One Touch  Easy db  ,,,
33206370,Alcatel Radiotelephone,One Touch  Easy db  ,,,
33206371,Alcatel Radiotelephone,One Touch  Easy db  ,,,
33206400,Alcatel Radiotelephone ,ONE TOUCH EASY DB  ,,,
33206453,Alcatel Radiotelephone,One Touch  Easy db  ,,,
33206467,Alcatel Radiotelephone,One Touch  Easy db  ,,,
33206470,Alcatel Radiotelephone,One Touch  Easy db  ,,,
33206471,Alcatel Radiotelephone,One Touch  Easy db  ,,,
33206500,Sagem ,MC 810  ,,,
33206511,Sagem,MC810  ,,,
33206520,Sagem,MC810  ,,,
33206522,Sagem,MC810  ,,,
33206535,Sagem,MC810  ,,,
33206542,Sagem,MC810  ,,,
33206572,Sagem,MC810  ,,,
33206582,Sagem,MC810  ,,,
33206595,Sagem,MC810  ,,,
33206782,Sagem ,MC 815  ,,,
33206836,Sagem ,MC 819  ,,,
33206900,Sagem ,MC 820  ,,,
33206911,Sagem,MC820  ,,,
33206920,Sagem,MC820  ,,,
33206922,Sagem,MC820  ,,,
33206935,Sagem,MC820  ,,,
33206942,Sagem,MC820  ,,,
33206972,Sagem,MC820  ,,,
33206982,Sagem,MC820  ,,,
33206995,Sagem,MC820  ,,,
33207182,Sagem ,MC 825  ,,,
33207911,Sagem,MC839  ,,,
33207920,Sagem,MC839  ,,,
33207922,Sagem,MC839  ,,,
33207935,Sagem,MC839  ,,,
33207942,Sagem,MC839  ,,,
33207972,Sagem,MC839  ,,,
33207982,Sagem,MC839  ,,,
33207995,Sagem,MC839  ,,,
33208382,Sagem ,MC 850  ,,,
33208682,Sagem ,MC 859  ,,,
33208822,Sagem ,DMC 830 GSM-DECT  ,,,
33209122,Sagem ,DMC 839  ,,,
33209200,Mitsubishi Electric ,TRIUM GEO - WAP  ,,,
33209235,Mitsubishi Electric,Geo  ,,,
33209335,Mitsubishi Electric,Astral  ,,,
33209400,Mitsubishi Electric ,TRIUM GALAXY  ,,,
33209435,Mitsubishi Electric,Galaxy  ,,,
33209600,Sagem ,MC 942 S  ,,,
33209611,Sagem,MC940  ,,,
33209620,Sagem,MC940  ,,,
33209622,Sagem,MC940  ,,,
33209635,Sagem,MC940  ,,,
33209642,Sagem,MC940  ,,,
33209672,Sagem,MC940  ,,,
33209682,Sagem,MC940  ,,,
33209695,Sagem,MC940  ,,,
33209700,Alcatel Radiotelephone ,ONE TOUCH CLUB DB  ,,,
33209753,Alcatel Radiotelephone,One Touch  Club db  ,,,
33209767,Alcatel Radiotelephone,One Touch  Club db  ,,,
33209770,Alcatel Radiotelephone,One Touch  Club db  ,,,
33209771,Alcatel Radiotelephone,One Touch  Club db  ,,,
33209800,Alcatel Radiotelephone ,ONE TOUCH CLUB DB  ,,,
33209853,Alcatel Radiotelephone,One Touch  Club db  ,,,
33209867,Alcatel Radiotelephone,One Touch  Club db  ,,,
33209870,Alcatel Radiotelephone,One Touch  Club db  ,,,
33209871,Alcatel Radiotelephone,One Touch  Club db  ,,,
33210200,Sagem ,MC 840 M  ,,,
33210211,Sagem,MC840  ,,,
33210220,Sagem,MC840  ,,,
33210222,Sagem,MC840  ,,,
33210235,Sagem,MC840  ,,,
33210242,Sagem,MC840  ,,,
33210272,Sagem,MC840  ,,,
33210282,Sagem,MC840  ,,,
33210295,Sagem,MC840  ,,,
33210300,Sagem ,MC 840  ,,,
33210311,Sagem,MC840  ,,,
33210320,Sagem,MC840  ,,,
33210322,Sagem,MC840  ,,,
33210335,Sagem,MC840  ,,,
33210342,Sagem,MC840  ,,,
33210372,Sagem,MC840  ,,,
33210382,Sagem,MC840  ,,,
33210395,Sagem,MC840  ,,,
33210800,Mitsubishi Electric ,Trium Laser  ,,,
33210834,Mitsubishi Electric,Luna  ,,,
33210835,Mitsubishi Electric,Luna  ,,,
33210900,Mitsubishi Electric ,Trium Laser  ,,,
