TAC,Manufacturer,Model,HW-Type,OS,Year
01095600,Motorola,C139,,,
01096500,Nokia,RH-74,,,
01096600,Nokia,RH-74,,,
01096700,Motorola,Motorola,,,
01096800,Motorola,Motorola,,,
01097100,Motorola,W220,,,
01097200,Nokia,Nokia,,,
01097300,Motorola,Motorola,,,
01097600,Motorola,V172,,,
01098300,Motorola,C139,,,
01098400,Motorola,Motorola,,,
01098500,Alcatel,Alcatel,,,
01098700,Sagem,Sagem,,,
01098900,Motorola,C115,,,
01099000,Motorola,Motorola,,,
01099400,Motorola,W220,,,
01099600,Nokia,1112b,,,
01099700,Nokia,1112b,,,
01100100,LG,Electronics,,,
01100400,Motorola,C122,,,
01100600,LG,MG110a,,,
01101300,Wavecom,Wavecom,,,
01101800,Sagem,A2006ca,,,
01103500,Motorola,Motofone,,,
01103600,Motorola,Motofone,,,
01103700,LG,LG,,,
01103800,PalmOne,Treo,,,
01103900,Pantech,PG-C3,,,
01104000,Nokia,2610b,,,
01104500,Alcatel,C820a,,,
01104700,Nokia,Nokia,,,
01105200,Nokia,6030b,,,
01105500,Nokia,1600b,,,
01105600,LG,Electronics,,,
01105700,Novatel,XU870,,,
01105800,Motorola,C139a,,,
01105900,LG,Electronics,,,
01106000,LG,LG,,,
01106100,LG,Electronics,,,
01106400,Nokia,Nokia,,,
01106500,Alcatel,One,,,
01106600,Alcatel,Radiotelephone,,,
01106800,Nokia,1112b,,,
01107000,Enfora,Enfora,,,
01107100,LG,Electronics,,,
01107300,Alcatel,C701a,,,
01107500,Nokia,1112b,,,
01108000,LG,Electronics,,,
01108100,LG,Electronics,,,
01108300,Motorola,C118,,,
01108400,Motorola,Motofone,,,
01108500,Motorola,W220,,,
01108600,Nokia,1600b,,,
01108700,Nokia,1112b,,,
01108800,Motorola,C139,,,
01108900,Motorola,C139,,,
01109300,PalmOne,Treo,,,
01109500,Alcatel,One,,,
01109800,Motorola,Motorola,,,
01109900,Nokia,1600b,,,
01110000,Motorola,C122,,,
01110900,Motorola,Motorola,,,
01111400,Nokia,6030b,,,
01111500,Motorola,Motofone,,,
01111600,Pantech,C740,,,
01111700,Pharos,Pharos,,,
01111900,Nokia,1112b,,,
01112200,Nokia,6030b,,,
01112300,Pantech,S100,,,
01112400,LG,LG,,,
01112500,Nokia,6030b,,,
01113100,Pantech,PG-C3b,,,
01113600,Danger,Danger,,,
01113700,Palm,Treo,,,
01113800,Alcatel,One,,,
01113900,Alcatel,One,,,
01114100,Alcatel,Alcatel,,,
01114500,LG,Electronics,,,
01114600,Nokia,6061,,,
01114700,Motorola,Motorola,,,
01114800,Motorola,Motorola,,,
01115000,Pantech,Pantech,,,
01115200,Nokia,1112b,,,
01115300,Alcatel,One,,,
01116000,Pantech,C810,,,
01116200,Huawei,Huawei,,,
01116300,Alcatel,Alcatel,,,
01116400,Nokia,1600b,,,
01116800,Motorola,V330,,,
01116900,Samsung,SGH-C166,,,
01117000,LG,Electronics,,,
01117100,LG,Electronics,,,
01117200,LG,Electronics,,,
01117300,LG,Electronics,,,
01117400,Nokia,Nokia,,,
01117500,Nokia,6061,,,
01117800,DSC,DSC,,,
01118100,LG,Electronics,,,
01118200,LG,Electronics,,,
01118500,Samsung,SGH-B110,,,
01118700,Motorola,C122,,,
01118800,LG,Electronics,,,
01119100,Nokia,2610b,,,
01119200,Nokia,2330cb,,,
01119400,LG,Electronics,,,
01119700,Pantech,Pantech,,,
01119800,Motorola,C139,,,
01119900,Alcatel,Alcatel,,,
01120600,PalmOne,Treo,,,
01120700,PalmOne,Treo,,,
01121100,Samsung,SGH-C166,,,
01121200,LG,Electronics,,,
01121500,Motorola,Motorola,,,
01121600,LG,Electronics,,,
01121900,Motorola,C168i,,,
01122200,Nokia,1112b,,,
01122300,Nokia,1112b,,,
01122400,Motorola,C139,,,
01122500,LG,CU405,,,
01122600,LG,Electronics,,,
01122800,LG,Electronics,,,
01122900,LG,Electronics,,,
01123000,LG,LG,,,
01123100,LG,Electronics,,,
01123500,LG,Electronics,,,
01123600,Pantech,Pantech,,,
01123700,Sony,Ericsson,,,
01123800,Samsung,Samsung,,,
01123900,Nokia,6030b,,,
01124000,Sony,Ericsson,,,
01124500,Apple,Inc.,,,
01124600,Zoombak,Zoombak,,,
01124800,Samsung,SGH-A127,,,
01124900,Samsung,Samsung,,,
01125000,Motorola,C139,,,
01125200,Enfora,Enfora,,,
01125600,Samsung,SGH-C165,,,
01125700,Nokia,Nokia,,,
01125800,Samsung,Samsung,,,
01125900,Samsung,SGH-C165,,,
01126400,LG,LG,,,
01126500,Sierra,Wireless,,,
01126600,LG,Electronics,,,
01126700,LG,CU575,,,
01126800,LG,Electronics,,,
01126900,LG,Electronics,,,
01127000,LG,Electronics,,,
01127100,Sony,Ericsson,,,
01127400,Nokia,1600b,,,
01127800,Nokia,1600b,,,
01127900,Motorola,Motofone,,,
01128000,Motorola,W220,,,
01128200,LG,Electronics,,,
01128400,LG,LG,,,
01128700,Nokia,2610b,,,
01128800,Nokia,2610b,,,
01129000,Alcatel,Alcatel,,,
01129100,Alcatel,Alcatel,,,
01129300,Motorola,W205,,,
01129400,Motorola,W205,,,
01129700,Pantech,Pantech,,,
01129800,LG,Electronics,,,
01130000,Apple,Inc.,,,
01130100,Apple,Inc.,,,
01130300,LG,Electronics,,,
01130400,LG,Electronics,,,
01130900,Motorola,C168i,,,
01131100,Enfora,Enfora,,,
01131900,Nokia,1112b,,,
01132000,Nokia,1112b,,,
01132100,Nokia,2610b,,,
01132300,Motorola,C138,,,
01132400,Alcatel,Alcatel,,,
01132500,LG,Electronics,,,
01132600,Motorola,W156,,,
01133000,LG,LG,,,
01133200,LG,Electronics,,,
01133300,LG,Electronics,,,
01133400,Motorola,Motorola,,,
01133500,PalmOne,Treo,,,
01133600,Sony,Ericsson,,,
01133700,LG,LG,,,
01133900,LG,Electronics,,,
01134000,Airo,Airo,,,
01134200,Motorola,W375,,,
01134400,Motorola,Motorola,,,
01134900,Nokia,1200b,,,
01135100,PalmOne,Centro,,,
01135300,LG,LG,,,
01135400,Samsung,SGH-A127,,,
01135500,Nokia,Nokia,,,
01135600,Nokia,2760,,,
01135700,Nokia,2660b,,,
01135900,Sierra,Wireless,,,
01136200,Motorola,Motorola,,,
01136300,Motorola,Motofone,,,
01136400,Apple,Inc.,,,
01136500,Apple,Inc.,,,
01136600,Motorola,W220,,,
01136900,Sony,Ericsson,,,
01137100,LG,MU550,,,
01137200,LG,Electronics,,,
01137300,LG,Electronics,,,
01137400,Nokia,Nokia,,,
01137500,Nokia,2610b,,,
01137600,Nokia,2760b,,,
01137800,Nokia,2760b,,,
01137900,Nokia,Nokia,,,
01138000,Motorola,W230,,,
01138100,voila,voila,,,
01138600,Nokia,1208b,,,
01138700,Nokia,1208b,,,
01138800,Nokia,1200b,,,
01138900,Nokia,1208b,,,
01139200,LG,LG,,,
01139300,Motorola,C168,,,
01139500,Motorola,Motorola,,,
01139800,Samsung,SGH-A117,,,
01139900,Huawei,T201,,,
01140000,Nokia,2630b,,,
01140200,LG,CU915,,,
01140400,Nokia,1600b,,,
01140800,Nokia,1112b,,,
01141000,Motorola,C168i,,,
01141100,Motorola,W156,,,
01141400,LG,Electronics,,,
01141500,LG,Electronics,,,
01141600,LG,Electronics,,,
01141700,Alcatel,Alcatel,,,
01141701,Alcatel,One,,,
01141800,Sierra,Wireless,,,
01142000,LG,Electronics,,,
01142100,Motorola,W156,,,
01142300,LG,Electronics,,,
01142400,Motorola,Motorola,,,
01142500,Motorola,Motofone,,,
01142600,LG,Electronics,,,
01142700,LG,Electronics,,,
01143000,LG,Electronics,,,
01143100,Nokia,1600b,,,
01143200,Alcatel,Alcatel,,,
01143400,Apple,Inc.,,,
01143500,LG,Electronics,,,
01143600,LG,LG,,,
01143700,LG,Electronics,,,
01143800,Alcatel,One,,,
01143900,Alcatel,S520,,,
01144000,Motorola,W270,,,
01144200,Motorola,W220,,,
01144300,LG,LG,,,
01144400,LG,Electronics,,,
01144500,LG,Electronics,,,
01145200,Alcatel,Alcatel,,,
01145800,Motorola,Motofone,,,
01145900,Motorola,Motorola,,,
01146000,Motorola,C168,,,
01146100,Nokia,1110b,,,
01146300,Pantech,C520,,,
01146400,LG,Electronics,,,
01146500,LG,Electronics,,,
01146600,Alcatel,Alcatel,,,
01146700,Alcatel,Alcatel,,,
01146800,Nokia,2630b,,,
01147000,LG,Electronics,,,
01147001,LG,Electronics,,,
01147100,LG,Electronics,,,
01147200,Apple,Inc.,,,
01147500,Pantech,C810,,,
01147600,LG,Electronics,,,
01147700,Bird,Bird,,,
01148100,Motorola,C139,,,
01148200,Samsung,Samsung,,,
01148300,Samsung,Samsung,,,
01148400,Huawei,Huawei,,,
01148500,Huawei,Huawei,,,
01148700,LG,Electronics,,,
01148800,LG,CU915,,,
01148900,LG,Electronics,,,
01149100,LG,Electronics,,,
01149200,Alcatel,One,,,
01149300,PalmOne,Treo,,,
01149400,LG,Electronics,,,
01149600,LG,Electronics,,,
01149800,Nokia,Nokia,,,
01150100,Qualcomm,Qualcomm,,,
01150300,Nokia,2610b,,,
01150400,Motorola,W230,,,
01151000,Nokia,1200b,,,
01151100,Nokia,1200b,,,
01151200,Nokia,1200b,,,
01151300,Nokia,1208b,,,
01151400,Nokia,Nokia,,,
01151600,LG,Electronics,,,
01152200,Sony,Ericsson,,,
01152300,Motorola,Motorola,,,
01152700,Alcatel,One,,,
01152800,Alcatel,Alcatel,,,
01153600,LG,Electronics,,,
01153700,Nokia,Nokia,,,
01153800,Motorola,W396,,,
01153900,Nokia,Nokia,,,
01154000,Nokia,Nokia,,,
01154100,Motorola,W156,,,
01154600,Apple,Inc.,,,
01154900,LG,LG,,,
01155200,Alcatel,V570a,,,
01155300,Motorola,W270,,,
01155400,Huawei,T521,,,
01155500,Motorola,W156,,,
01155600,Motorola,,,,
01155800,Enfora,Enfora,,,
01156000,Pantech,Pantech,,,
01156300,Samsung,Samsung,,,
01156500,Ericsson,F3507g,,,
01156800,LG,KM380d,,,
01157200,Sony,Ericsson,,,
01157700,LG,Electronics,,,
01157800,LG,CB630,,,
01157900,Motorola,W230,,,
01158000,Motorola,W270,,,
01158100,Nokia,1200b,,,
01158200,Alcatel,One,,,
01158300,Alcatel,One,,,
01158400,Alcatel,Alcatel,,,
01158500,Nokia,2630b,,,
01158600,LG,LG,,,
01158700,LG,Electronics,,,
01158800,LG,Electronics,,,
01158900,Nokia,2760,,,
01159100,Samsung,Samsung,,,
01159200,Pantech,C820,,,
01159500,Pantech,C740,,,
01159800,Nokia,2760,,,
01160000,Motorola,W230,,,
01160100,Nokia,5000d-2b,,,
01160900,ZTE,Corporation,,,
01161000,Pantech,C530,,,
01161100,Apple,Apple,,,
01161200,Apple,Inc.,,,
01161300,Apple,Inc.,,,
01161400,Apple,Inc.,,,
01161600,Motorola,W156,,,
01162300,Motorola,W388,,,
01162400,LG,Electronics,,,
01162500,LG,Electronics,,,
01162600,LG,LG,,,
01162900,Sony,Ericsson,,,
01163000,LG,LG,,,
01163100,LG,LG,,,
01163200,LG,CF750,,,
01163500,LG,Electronics,,,
01163700,Motorola,W388,,,
01163800,Motorola,W396,,,
01163900,Samsung,SGH-B130,,,
01164200,Motorola,W220,,,
01164900,Motorola,W231,,,
01165300,Alcatel,Alcatel,,,
01165400,Apple,Inc.,,,
01165500,Nokia,1200b,,,
01165600,Nokia,Nokia,,,
01165700,Pantech,C630,,,
01165900,Alcatel,Alcatel,,,
